"title"	"code"	"type"	"last update of data"	"last table structure change"	"data start"	"data end"	"values"
"                    Active population"	"cens_01ract"	"folder"	" "	" "	" "	" "	
"                        Population by sex, age group, current activity status and NUTS 3 region"	"cens_01rapop"	"dataset"	"27.03.2009"	"11.10.2024"	"2001"	"2001"	555759
"                        Total and active population by sex, age, employment status, residence one year prior to the census and NUTS 3 region"	"cens_01ramigr"	"dataset"	"27.03.2009"	"03.01.2024"	"2001"	"2001"	1482371
"                        Employed persons aged 15 and over by sex, citizenship, economic activity (NACE Rev. 1), status in employment and NUTS 3 region"	"cens_01ractz"	"dataset"	"27.03.2009"	"11.10.2024"	"2001"	"2001"	82241
"                    Educational attainment level"	"cens_01redu"	"folder"	" "	" "	" "	" "	
"                        Employed persons by sex, age group, educational attainment level, occupation (ISCO-88) and NUTS 3 region"	"cens_01reisco"	"dataset"	"27.03.2009"	"14.10.2024"	"2001"	"2001"	493041
"                        Population by sex, age group, educational attainment level, current activity status and NUTS 3 region"	"cens_01rews"	"dataset"	"27.03.2009"	"14.10.2024"	"2001"	"2001"	210708
"                    Households"	"cens_01rhou"	"folder"	" "	" "	" "	" "	
"                        Population by sex, age group, household status and NUTS 3 region"	"cens_01rhtype"	"dataset"	"27.03.2009"	"03.01.2024"	"2001"	"2001"	354029
"                        Population by sex, age group, size of household and NUTS 3 region"	"cens_01rhsize"	"dataset"	"09.02.2011"	"03.01.2024"	"2001"	"2001"	288476
"                        Private households by composition, size and NUTS 3 region"	"cens_01rheco"	"dataset"	"26.03.2009"	"03.01.2024"	"2001"	"2001"	59595
"                        Private households by composition, age group of children and NUTS 3 region"	"cens_01rhagchi"	"dataset"	"27.03.2009"	"03.01.2024"	"2001"	"2001"	29223
"                    Dwellings"	"cens_01rdws"	"folder"	" "	" "	" "	" "	
"                        Dwellings by type of housing, building and NUTS 3 region"	"cens_01rdhh"	"dataset"	"10.09.2009"	"23.05.2024"	"2001"	"2001"	28194
"                        Persons by type of building and NUTS 3 region"	"cens_01rdbuild"	"dataset"	"27.03.2009"	"03.01.2024"	"2001"	"2001"	4667
"            Regional economic accounts"	"reg_eco10"	"folder"	" "	" "	" "	" "	
"                Gross domestic product indicators"	"reg_eco10gdp"	"folder"	" "	" "	" "	" "	
"                    Gross domestic product (GDP) at current market prices by NUTS 2 region"	"nama_10r_2gdp"	"dataset"	"18.03.2025"	"18.03.2025"	"2000"	"2023"	71581
"                        Regional gross domestic product (PPS per inhabitant in % of the EU27 (from 2020) average) by NUTS 2 region"	"tgs00006"	"table"	"18.03.2025"	"18.03.2025"	"2012"	"2023"	3397
"                        Regional gross domestic product by NUTS 2 region"	"tgs00003"	"table"	"18.03.2025"	"18.03.2025"	"2012"	"2023"	3627
"                    Average annual population to calculate regional GDP data (thousand persons) by NUTS 3 region"	"nama_10r_3popgdp"	"dataset"	"12.03.2025"	"11.02.2025"	"2000"	"2023"	40358
"                    Gross domestic product (GDP) at current market prices by NUTS 3 region"	"nama_10r_3gdp"	"dataset"	"12.03.2025"	"11.02.2025"	"2000"	"2023"	279563
"                    Gross domestic product (GDP) and Gross value added (GVA) in volume by NUTS 2 region"	"nama_10r_2gvagr"	"dataset"	"15.07.2025"	"14.04.2025"	"1995"	"2023"	38072
"                        Gross domestic product (GDP) and Gross value added (GVA) in volume by NUTS 2 region"	"tgs00037"	"table"	"15.07.2025"	"14.04.2025"	"2012"	"2023"	12765
"                Branch and household accounts"	"reg_eco10brch"	"folder"	" "	" "	" "	" "	
"                    Gross value added at basic prices by NUTS 3 region"	"nama_10r_3gva"	"dataset"	"12.03.2025"	"11.02.2025"	"1995"	"2023"	1194282
"                    Gross fixed capital formation by NUTS 2 region for total economy and general government"	"nama_10r_2gfcf"	"dataset"	"08.09.2025"	"18.03.2025"	"1995"	"2023"	281244
"                    Compensation of employees by NUTS 2 region"	"nama_10r_2coe"	"dataset"	"08.09.2025"	"18.03.2025"	"1995"	"2023"	284924
"                    Employment (thousand persons) by NUTS 3 region"	"nama_10r_3empers"	"dataset"	"12.03.2025"	"11.02.2025"	"1995"	"2023"	1355231
"                    Employment (thousand hours worked) by NUTS 2 region"	"nama_10r_2emhrw"	"dataset"	"28.04.2025"	"28.04.2025"	"1995"	"2023"	381447
"                    Income of households by NUTS 2 region"	"nama_10r_2hhinc"	"dataset"	"08.09.2025"	"18.03.2025"	"1995"	"2023"	285294
"                        Disposable income of private households by NUTS 2 region"	"tgs00026"	"table"	"08.09.2025"	"18.03.2025"	"2012"	"2023"	2822
"                        Primary income of private households by NUTS 2 region"	"tgs00036"	"table"	"08.09.2025"	"18.03.2025"	"2012"	"2023"	2822
"            Regional education statistics"	"reg_educ"	"folder"	" "	" "	" "	" "	
"                Regional education statistics - ISCED 2011"	"reg_educ_11"	"folder"	" "	" "	" "	" "	
"                    Pupils enrolled in early childhood education by sex and NUTS 2 region"	"educ_uoe_enrp03"	"dataset"	"27.03.2025"	"27.03.2025"	"2013"	"2023"	31902
"                    Pupils enrolled in primary education by sex and NUTS 2 region"	"educ_uoe_enrp06"	"dataset"	"27.03.2025"	"27.03.2025"	"2013"	"2023"	14470
"                    Pupils enrolled in lower-secondary education by programme orientation, sex and NUTS 2 region"	"educ_uoe_enrs03"	"dataset"	"25.04.2025"	"27.03.2025"	"2013"	"2023"	35477
"                    Pupils enrolled in upper secondary education by programme orientation, sex and NUTS 2 region"	"educ_uoe_enrs06"	"dataset"	"25.04.2025"	"27.03.2025"	"2013"	"2023"	43344
"                    Pupils enrolled in post-secondary non-tertiary education by programme orientation, sex and NUTS 2 region"	"educ_uoe_enrs09"	"dataset"	"25.04.2025"	"27.03.2025"	"2013"	"2023"	26769
"                    Ratio of the proportion of tertiary students over the proportion of the population by NUTS 1 and NUTS 2 region"	"educ_uoe_enrt05"	"dataset"	"25.04.2025"	"27.03.2025"	"2013"	"2023"	4097
"                    Students enrolled in tertiary education by education level, programme orientation, sex and NUTS 2 region"	"educ_uoe_enrt06"	"dataset"	"29.04.2025"	"27.03.2025"	"2013"	"2023"	81947
"                    Pupils and students enrolled by education level, sex and NUTS 2 region"	"educ_uoe_enra11"	"dataset"	"29.04.2025"	"27.03.2025"	"2013"	"2023"	138922
"                    Pupils and students enrolled by sex, age and NUTS 2 region"	"educ_uoe_enra12"	"dataset"	"29.04.2025"	"27.03.2025"	"2013"	"2023"	479734
"                    Distribution of pupils and students enrolled in general and vocational programmes by education level and NUTS 2 region"	"educ_uoe_enra13"	"dataset"	"25.04.2025"	"27.03.2025"	"2013"	"2023"	23048
"                    Participation rates of selected age groups in education at regional level"	"educ_uoe_enra14"	"dataset"	"29.04.2025"	"27.03.2025"	"2013"	"2023"	17022
"                    Participation rates in selected education levels at regional level"	"educ_uoe_enra15"	"dataset"	"25.04.2025"	"27.03.2025"	"2012"	"2023"	13898
"                    Pupils from age 4 to the starting age of compulsory education at primary level by NUTS 2 region - % of the population of the corresponding age"	"educ_uoe_enra17"	"dataset"	"25.04.2025"	"27.03.2025"	"2013"	"2023"	4289
"                    Pupils from age 3 to the starting age of compulsory education at primary level by NUTS 2 region - % of the population of the corresponding age"	"educ_uoe_enra22"	"dataset"	"25.04.2025"	"27.03.2025"	"2013"	"2023"	3756
"                Regional education statistics - ISCED 1997"	"reg_educ_97"	"folder"	" "	" "	" "	" "	
"                    Students by level of education, orientation, sex and NUTS 2 region (1998-2012)"	"educ_renrlrg1"	"dataset"	"15.03.2019"	"10.01.2024"	"1998"	"2012"	178017
"                    Students by age, sex and NUTS 2 region (1998-2012)"	"educ_renrlrg3"	"dataset"	"15.03.2019"	"10.01.2024"	"1998"	"2012"	386871
"                    Education indicators by NUTS 2 region (1998-2012)"	"educ_regind"	"dataset"	"15.03.2019"	"10.01.2024"	"1998"	"2012"	43221
"                Regional education statistics"	"reg_educ_"	"folder"	" "	" "	" "	" "	
"                    Participation rate in education and training (last 4 weeks) by NUTS 2 region"	"trng_lfse_04"	"dataset"	"12.06.2025"	"14.04.2025"	"2000"	"2024"	32396
"                    Population in private households by educational attainment level and NUTS 2 region"	"edat_lfse_04"	"dataset"	"11.09.2025"	"14.04.2025"	"2000"	"2024"	614941
"                        Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region"	"tgs00109"	"table"	"11.09.2025"	"14.04.2025"	"2013"	"2024"	11214
"                        Persons aged 25-34 with tertiary educational attainment level by sex and NUTS 1 region"	"tgs00105"	"table"	"11.09.2025"	"14.04.2025"	"2013"	"2024"	4140
"                    Early leavers from education and training by NUTS 2 region"	"edat_lfse_16"	"dataset"	"11.09.2025"	"14.04.2025"	"2000"	"2024"	28877
"                        Early leavers from education and training by sex and NUTS 1 region"	"tgs00106"	"table"	"11.09.2025"	"14.04.2025"	"2013"	"2024"	3871
"                    Young persons neither in employment nor in education and training by NUTS 2 region (NEET rates)"	"edat_lfse_22"	"dataset"	"12.06.2025"	"14.04.2025"	"2000"	"2024"	124075
"                    Employment rates of young persons not in education and training by educational attainment level, years since completion of highest level of education and NUTS 2 region"	"edat_lfse_33"	"dataset"	"11.09.2025"	"14.04.2025"	"2000"	"2024"	3297321
"            Regional science and technology statistics"	"reg_sct"	"folder"	" "	" "	" "	" "	
"                R&D expenditure and personnel"	"reg_rd"	"folder"	" "	" "	" "	" "	
"                    R&D personnel and researchers by sector of performance, sex and NUTS 2 region"	"rd_p_persreg"	"dataset"	"29.09.2025"	"29.09.2025"	"1980"	"2023"	621823
"                        Researchers in all sectors by NUTS 2 region"	"tgs00043"	"table"	"29.09.2025"	"29.09.2025"	"2012"	"2023"	2140
"                    GERD by sector of performance and NUTS 2 region"	"rd_e_gerdreg"	"dataset"	"29.09.2025"	"29.09.2025"	"1980"	"2023"	291906
"                        Intramural R&D expenditure (GERD) by NUTS 2 region"	"tgs00042"	"table"	"29.09.2025"	"29.09.2025"	"2012"	"2023"	2115
"                Regional business innovation"	"reg_inn"	"folder"	" "	" "	" "	" "	
"                    Enterprises, employed persons and turnover by innovation status and NUTS 2 region (CIS2022)"	"inn_cis13_bas_r"	"dataset"	"30.04.2025"	"30.04.2025"	"2022"	"2022"	1516
"                    Enterprises and employed persons by innovation capabilities and NUTS 2 region (CIS2022)"	"inn_cis13_bas_ip_r"	"dataset"	"30.04.2025"	"30.04.2025"	"2022"	"2022"	389
"                    Turnover from new or significantly improved products by NUTS 2 region (CIS2022)"	"inn_cis13_prodt_r"	"dataset"	"30.04.2025"	"30.04.2025"	"2022"	"2022"	331
"                    Innovation active enterprises' expenditure on R&D and innovation by type and NUTS 2 region (CIS2022)"	"inn_cis13_exp_r"	"dataset"	"30.04.2025"	"30.04.2025"	"2022"	"2022"	369
"                    Enterprises that co-operated on innovation activities with other entities by NUTS 2 region (CIS2022)"	"inn_cis13_co_r"	"dataset"	"30.04.2025"	"30.04.2025"	"2022"	"2022"	194
"                Employment in high technology sectors"	"reg_htec"	"folder"	" "	" "	" "	" "	
"                    Employed persons in technology and knowledge-intensive sectors by NACE Rev. 1.1 activity and NUTS 2 region (1999-2008)"	"htec_emp_reg"	"dataset"	"15.02.2023"	"10.01.2024"	"1999"	"2008"	600292
"                    Employed persons in technology and knowledge-intensive sectors by NACE Rev. 2 activity and NUTS 2 region (2008-2026)"	"htec_emp_reg2"	"dataset"	"11.09.2025"	"14.04.2025"	"2008"	"2024"	1369498
"                        Employed persons in high-tech sectors by NUTS 2 region (2008-2026)"	"tgs00039"	"table"	"11.09.2025"	"14.04.2025"	"2013"	"2024"	3485
"                    Employed persons in technology and knowledge-intensive sectors by NACE Rev. 1.1 activity, NUTS 1 region and occupation (1999-2008)"	"htec_emp_risco"	"dataset"	"15.02.2023"	"10.01.2024"	"1999"	"2008"	263938
"                    Employed persons in technology and knowledge-intensive sectors by NACE Rev. 2 activity, NUTS 1 region and occupation (2008-2026)"	"htec_emp_risco2"	"dataset"	"11.09.2025"	"14.04.2025"	"2008"	"2024"	599160
"                    Employed persons in technology and knowledge-intensive sectors by NACE Rev. 1.1 activity, NUTS 1 region and educational attainment level (1999-2008)"	"htec_emp_risced"	"dataset"	"15.02.2023"	"10.01.2024"	"1999"	"2008"	283626
"                    Employed persons in technology and knowledge-intensive sectors by NACE Rev. 2 activity, NUTS 1 region and educational attainment level (2008-2026)"	"htec_emp_risced2"	"dataset"	"11.09.2025"	"14.04.2025"	"2008"	"2024"	613486
"                Human Ressources in Science and Technology (HRST)"	"reg_hrst"	"folder"	" "	" "	" "	" "	
"                    Human resources in science and technology (HRST) by category and NUTS 2 region"	"hrst_st_rcat"	"dataset"	"11.09.2025"	"14.04.2025"	"1999"	"2024"	173349
"                        Human resources in science and technology (HRST) by NUTS 2 region"	"tgs00038"	"table"	"11.09.2025"	"14.04.2025"	"2013"	"2024"	3769
"                    Human resources in science and technology (HRST) by category, NUTS 1 region and sex"	"hrst_st_rsex"	"dataset"	"11.09.2025"	"14.04.2025"	"1999"	"2024"	172530
"                    Human resources in science and technology (HRST) by category, NUTS 1 region and age"	"hrst_st_rage"	"dataset"	"11.09.2025"	"14.04.2025"	"1999"	"2024"	339503
"                    Employed HRST by category, NACE Rev. 1.1 activity and NUTS 1 region (1994 - 2007)"	"hrst_st_rsec"	"dataset"	"14.04.2021"	"10.01.2024"	"1999"	"2008"	320056
"                    Employed persons in science and technology (HRST) by category, NACE Rev. 2 activity and NUTS 1 region (2008-2026)"	"hrst_st_rsec2"	"dataset"	"11.09.2025"	"14.04.2025"	"2008"	"2024"	731278
"                Intellectual property rights - Patents"	"reg_pat"	"folder"	" "	" "	" "	" "	
"                    Patent applications to the EPO by priority year by NUTS 3 region (1977-2012)"	"pat_ep_rtot"	"dataset"	"29.04.2016"	"10.01.2024"	"1977"	"2012"	104106
"                    Patent applications to the EPO by priority year by NUTS 3 region, international patent classification (IPC) sections and classes (1977-2013)"	"pat_ep_ripc"	"dataset"	"29.04.2016"	"10.01.2024"	"1977"	"2012"	3965827
"                    High-tech patent applications to the EPO by priority year and NUTS 3 region (1977-2012)"	"pat_ep_rtec"	"dataset"	"29.04.2016"	"10.01.2024"	"1977"	"2012"	316701
"            Regional structural business statistics"	"reg_sbs"	"folder"	" "	" "	" "	" "	
"                SBS data by NUTS 2 region and NACE Rev. 2 (2008-2020)"	"sbs_r_nuts06_r2"	"dataset"	"01.03.2024"	"10.01.2024"	"2008"	"2020"	1941405
"                Multiannual statistics for distributive trades (NACE Rev. 2, G) by NUTS 2 region (2009-2014)"	"sbs_r_3k_my_r2"	"dataset"	"24.05.2019"	"10.01.2024"	"2009"	"2014"	26211
"                SBS data by NUTS 2 region (NUTS 2006) and NACE Rev. 1.1 (1995-2007)"	"sbs_r_nuts03"	"dataset"	"27.10.2022"	"23.09.2023"	"1995"	"2007"	1562285
"                Number of local units, persons employed and wages and salaries by NUTS 2 region (1997-2007)"	"sbs_cre_rreg"	"dataset"	"06.10.2010"	"07.06.2024"	"1997"	"2007"	3796
"                Multi yearly statistics by NUTS 2 region (NUTS 2006) (1999-2004)"	"sbs_r_3f_my"	"dataset"	"10.09.2009"	"08.02.2021"	"1999"	"2004"	8059
"                Enterprises by NUTS 2 region and NACE Rev.2 activity"	"sbs_r_nuts2021"	"dataset"	"13.10.2025"	"01.09.2025"	"2021"	"2023"	570518
